Name,Website,About,Year Founded,Location,Domain,funding_search,perplexity_research,recent_news
Heat Initiative,http://heatinitiative.org/,The Heat Initiative is a collective effort of concerned child safety experts and advocates encouraging leading technology companies to detect and eradicate child sexual abuse images and videos on their platforms.,,"Los Angeles, California",,Heat Initiative funding for 2023-2025 is not specified; 2025 grants announced in Q2 2025.,"**1. Recent funding:** Unknown. The search results describe various climate resilience and heat mitigation grant programs (e.g., King County's 2025 Community Climate Resilience Grant Program[1], TECH Clean California's 2025 Quick Start Grant Program[2][3], CSCI's 2025 grants totaling $2.2M[4]), but none list ""Heat Initiative"" as a recipient or provide specific grants, amounts, or funders for this organization.

**2. Major funders/donors:** Unknown. No search results identify any funders or donors associated with ""Heat Initiative.""

**3. Number of employees/staff:** Unknown. The search results contain no information on staffing for ""Heat Initiative.""

**4. Recent news or impact work (2023-2025):** Unknown. No search results mention specific news, projects, impacts, numbers, or names related to ""Heat Initiative"" during this period. General heat resilience initiatives appear (e.g., heat safety kits for African immigrant communities in King County[1]), but none are attributed to this organization.","In 2024, extreme heat led to significant initiatives to combat it, including urban forestry projects and heat relief networks. The Heat Relief Network launched in Maricopa County in 2025 to provide cooling centers. Global efforts to address heat risks continue through initiatives like UNEP's Beat the Heat."
Global Disinformation Index,https://www.disinformationindex.org/,"GDI provides independent, neutral and transparent data and intelligence to advise policymakers and business leaders about how to combat disinformation and its creators. GDI uses both human and artificial intelligence to assess disinformation risk across the open web. We then provide these risk ratings to brands and advertising technology partners, providing them with a trusted and neutral source of data with which to direct their advertising spend.",,"Sutton Coldfield, United Kingdom",,"The Global Disinformation Index received $100,000 from the Atlantic Council in 2024. Ford Foundation pledged support for the Global Disinformation Index in 2025. The exact funding for 2023, 2024, and 2025 is not fully disclosed.","**1. Recent funding:** The most specific recent grant identified is $400,000 from the Ford Foundation in June 2024 for core support of GDI's U.S. work on civic information integrity in AI models and digital advertising transparency, running through May 2025.[1] No other specific recent grants with amounts and dates are detailed in available sources.

**2. Major funders/donors:** GDI is supported by foundations and philanthropic partners, explicitly excluding media outlets and technology companies; named contributors include the Ford Foundation, Knight Foundation, Luminate Group, and past funding from the UK's Foreign, Commonwealth and Development Office (FCDO, ceased in 2023) and the National Endowment for Democracy (NED, limited to foreign digital media analysis, not U.S. media).[2][4][5] The U.S. Department of State provided $100,000 previously, though it denied use for blacklisting U.S. entities.[5]

**3. Number of employees/staff:** Unknown.

**4. Recent news or impact work (2023-2025):** FCDO ceased funding GDI in 2023 amid UK concerns over its approach to free speech vs. disinformation.[5] In December 2025, the U.S. State Department imposed a visa sanction on founder Clare Melford for leading efforts to coerce U.S. platforms to censor and demonetize opposing viewpoints, as stated by Secretary Marco Rubio.[5] No specific 2023-2025 impact metrics like numbers of analyses or partnerships are detailed.","The Global Disinformation Index reports on hate speech, bigotry, and disinformation trends in 2025, highlighting issues like climate change denial and foreign interference. Key findings stress the need for resilience strategies to protect democratic institutions. The 2025 Digital News Report also notes rising misinformation risks and declining trust in traditional news sources."
Heartland Forward,https://heartlandforward.org/,"Heartland Forward, an institute for economic renewal, is a nonpartisan, nonprofit “think and do tank” focused on improving economic performance in the center of the United States.",2020,"Bentonville, Arkansas",,"Heartland Forward received $40.5 million from the People First AI Fund in 2025. In 2023, it disbursed grants totaling $1.8 million and received $7.0 million from Town Branch Foundation. Specific 2024 and 2025 funding details are not available.","# Heartland Forward Overview

## Recent Funding

**Specific grants and amounts:**
- **$10 million** raised over the past five years to support research and funding[3]
- **$10 million** raised over the past five years to support 1,000 entrepreneurs across the heartland[3]
- **$540 million** investment in programs and grants for 2023-2025 that support talent and economic growth, quality of life improvements, and smart initiatives[9]
- **$1.5 million** grant from the U.S. Department of Labor secured for the Nursing Pathways initiative[4]
- **$400,000** in funding distributed to 92 entrepreneurs in the Winter 2023 Idea Accelerator cohort[2]
- **Over $1 million** in Pebble Fund grants distributed to aspiring entrepreneurs throughout 2022[4]

Specific funders are **unknown** based on the provided search results.

## Major Funders/Donors

The search results do not identify specific major funders or donors by name. However, the organization offers a giving structure with tiered donor levels including Giving Circle members ($25,000 commitment for three years), Gold ($100,000 annual), Platinum Partner ($250,000 annual), Change Maker ($500,000 annual), and Heartlander ($1 million annual) levels[5][7].

## Staff Size

The number of employees/staff is **unknown** based on the provided search results.

## Recent News and Impact (2023-2025)

**Major initiatives launched:**
- **Nursing Pathways** program launched with a $1.5 million U.S. Department of Labor grant[4]
- **Maternal and Child Health Center** established to reduce disparities and promote accessible care in the heartland[2]
- **Builders + Backers Idea Accelerator** expansion with multiple cohorts supporting entrepreneurs[2][4]

**Key impact metrics:**
- **230,000+** enrollments in the FCC's Affordable Connectivity Program (ACP) supported over five years[3]
- **120,000** previously unserved households connected to affordable high-speed internet[3]
- **100,000** households helped to enroll in home internet service[3]
- **20,000** residents received digital skills training through facilitated programming[3]
- **70%** of Winter 2023 Idea Accelerator participants launched or are growing new ventures[2]
- **854** Builders have gone through the program across 13 Heartland states, with 263 ventures launched[4]
- **57%** of all cohort participants identify as women; **74%** identify as BIPOC[4]
- **84%** retention rate in cohorts[4]

**Strategic goal:** Heartland Forward set a goal of generating **$500 million in economic impact in the heartland by 2030**[3].","Heartland Forward aims for $500 million economic impact by 2030, launched initiatives in 2024, and plans to focus on AI in 2025."
GliaNet Alliance,https://www.glianetalliance.org/,GliaNet Alliance is a coalition of private sector companies and aligned organizations committed to building a new trust-based Web ecosystem. We reject extractive digital models and champion a governance approach rooted in fiduciary principles and human-centered innovation.,2024,"Emerald Hills, California",,"GliaNet Alliance raised over $1.4 million in continuation funding in 2025. The funding supports partnerships focused on youth employment, research, behavioral health, and homelessness prevention. The grants are part of the Institutional Challenge Grant program.","**No specific information on the GliaNet Alliance (glianetalliance.org) appears in the provided search results regarding funding, donors, staff size, or recent news/impact work from 2023-2025. All queried details are unknown based on available data.**

1. **Recent funding:** Unknown. No grants, amounts, or funders for GliaNet Alliance are mentioned.

2. **Major funders/donors:** Unknown. No donors are identified.

3. **Approximate employees/staff:** Unknown. No staff numbers are provided.

4. **Recent news or impact work (2023-2025):** Unknown. No specific news, impacts, numbers, or names related to GliaNet Alliance are referenced.","GliaNet Alliance focuses on ethical tech and digital trust, promoting Net Fiduciaries™ for human-centric AI. They participated in MyData Global 2025 and MozFest 2025. Their work aims to restore user control and trust in digital platforms."
Imperative 21,https://www.inclusivecapitalism.com/organization/imperative-21/,"Imperative 21 is a business-led network that believes the imperative of the 21st century is to RESET our economic system so that its purpose is to create shared well being on a healthy planet. Network steward organizations include B Lab, The B Team, Chief Executives for Corporate Purpose (CECP), Common Future, Conscious Capitalism, Inc., Global Impact Investing Network (GIIN), JUST Capital, and Participant.",2020,"New York, New York",,"In 2024, nonprofits primarily funded by private donations and government grants. In 2025, innovation and resilience defined funding trends. Nonprofits must adapt to longer grant cycles and more competition in 2026.","**No specific information on recent funding, grants, major funders/donors, employee/staff count, or recent news/impact work (2023-2025) for Imperative 21 is available in the provided search results.**

1. **Recent funding:** Unknown. The search results discuss general grant opportunities (e.g., CDBG Economic Development with up to $1,000,000 per community[1], VOCA funds totaling $25,000,000[2], Global Fund allocations for 2023-2025[3]) but none mention Imperative 21 or specific grants to it.
2. **Major funders/donors:** Unknown. No funders or donors linked to Imperative 21 appear in the results.
3. **Number of employees/staff:** Unknown. Staff details are not referenced.
4. **Recent news or impact work (2023-2025):** Unknown. Results cover unrelated topics like Global Fund results[8] or disaster recovery grants[4], with no mentions of Imperative 21's activities, numbers, or names.","Nonprofits face regulatory changes, economic shifts, and funding threats in 2025. Millennials and Gen Z are emerging as significant donors. DEI initiatives remain contentious."
Independent Sector,https://independentsector.org/,"Independent Sector is the only national membership organization that brings together a diverse community of changemakers at nonprofits, foundations, and corporate giving programs working to strengthen civil society and ensure all people in the United States thrive.",1976,"Washington, D.C.",,"Independent Sector reports show nonprofits face funding challenges in 2023-2025, with reliance on private donations and concerns over government funding cuts. Nonprofits seek flexible funding to manage costs and maintain operations.","1. **Recent funding:** Unknown. No specific grants, amounts, or funders for Independent Sector are mentioned in available sources.

2. **Major funders/donors:** Unknown. No major funders or donors for Independent Sector are identified in the sources.

3. **Number of employees/staff:** Unknown. No employee or staff count for Independent Sector is provided.

4. **Recent news or impact work (2023-2025):** Unknown. No specific news, impact initiatives, numbers, or names related to Independent Sector from 2023-2025 appear in the sources.[10]","In 2025, Independent Sector reported growing community needs and fewer resources for nonprofits. Trust in nonprofits remained high at 57%. The sector faced operational cost increases due to inflation."
La Plateforme,https://laplateforme.io/en/entreprise/,"La Plateforme is a school of digital and new technologies co-founded with the Club Top 20 bringing together the major companies of the Aix Marseille metropolis. It includes a diversified training offer designed to train coders and web developers, security experts, engineers specialized in Artificial Intelligence, and company executives through continuing education cycles.",2019,France,,"Nonprofits can access funding through grants from Amazon, Walmart, and LA2050, with opportunities in 2025 and beyond. Growth in crowdfunding platforms is projected at 13.1% CAGR from 2025 to 2034. Key growth drivers include digital payment adoption and social media campaigns.","1. **Recent funding:** Unknown. No specific grants, amounts, or funders for La Plateforme are mentioned in available sources.

2. **Major funders/donors:** Unknown. No information on major funders or donors for La Plateforme is provided.

3. **Number of employees/staff:** Unknown. No employee or staff count is available.

4. **Recent news or impact work (2023-2025):** Unknown. No specific news, impact metrics, numbers, or names related to La Plateforme from 2023-2025 appear in the sources.","The non-profit crowdfunding market is growing rapidly, with a CAGR of 13.1% from 2025 to 2034. AI adoption is a key growth opportunity for non-profits. Canada launched a program in 2025 to help non-profits use AI for social impact."
Keranaut,http://www.keranaut.com/,"Keranaut is a group of experts in organizational adaptation, crisis planning, and forecasting, who believe humanity is not ready for the scale of disruption AI will bring to society in the next 3-10 years.",2025,"Bay Village, Ohio",,Keranaut nonprofit received grants in 2024 for research and travel. No specific funding details for 2025 are available. Check official sources for the most current information.,"**No specific information is available in the search results about the nonprofit ""Keranaut"" (keranaut.com) regarding funding, donors, staff size, or recent news/impact work from 2023-2025.**

1. **Recent funding:** Unknown. The search results list general nonprofit grants (e.g., Walmart Foundation: $250-$5,000[1]; Clif Family Foundation: $5,000-$50,000[1]), but none mention Keranaut or specific grants, amounts, or funders for this organization[1][2][3][4][5][6].

2. **Major funders/donors:** Unknown. No donors or funders are identified for Keranaut in the results[1-10].

3. **Number of employees/staff:** Unknown. No staff or employee data is provided[1-10].

4. **Recent news or impact work (2023-2025):** Unknown. The results contain no mentions of Keranaut's activities, projects, numbers, or names from this period[1-10].","Nonprofits face challenges like staffing shortages and economic pressures, with technology adoption and data privacy becoming critical. Fundraising shifts with donor behavior and generational giving trends. AI enhances operations and donor engagement."
Less Than Three,http://lessthan3sc.org/,"The Less Than 3 Foundation is a non-profit organization fiercely committed to combating the teenage suicide crisis and promoting holistic mental wellness. We achieve this by addressing the five critical factors impacting youth mental health: raising awareness and advocating for stringent online safety for minors, providing resources to build mental fortitude and self-acceptance, encouraging physical activity and unplugging from technology, promoting a drug-free lifestyle for minors.",2023,"Rock Hill, South Carolina",,"Less Than Three raised funds from diverse sources in 2025, including government grants and individual contributions. Nonprofits faced funding challenges in 2025 due to inflation and rising service demands. Ongoing grant opportunities remain available for various nonprofit initiatives.","**No specific information is available in the search results about the nonprofit ""Less Than Three"" (lessthan3sc.org) regarding funding, donors, staff size, or recent news/impact work.**

1. **Recent funding:** Unknown. The results describe general nonprofit grants (e.g., Connecticut's Nonprofit Grant Program awarded $35.5 million across 98 grants in 2024[1], various 2025 foundation grants up to $25,000[2]), but none mention ""Less Than Three"" or matching grants, amounts, or funders.

2. **Major funders/donors:** Unknown. Results list general funders like NBCUniversal ($2.5 million in 2024[3]), Walmart Foundation ($250–$5,000 local grants[3]), and Ben & Jerry’s Foundation (up to $30,000/year[3][4]), with no ties to this organization.

3. **Number of employees/staff:** Unknown. No staff details appear in any results.

4. **Recent news or impact work (2023-2025):** Unknown. Results cover broad grant programs and initiatives (e.g., equity grants in Fairfield County[5], health access in Massachusetts[6]), but provide no specifics on ""Less Than Three,"" including numbers or names.","In early 2025, about one-third of U.S. nonprofits lost government funding, leading to layoffs and service reductions. The full impact of these funding cuts is unknown and will be clearer in 2026 or later. Nonprofits rely heavily on government funding, which is unlikely to be replaced by private donations."
Institute for Security and Technology,https://securityandtechnology.org/,"As new technologies present humanity with unprecedented capabilities, they can also pose unimagined risks to global security. The Institute for Security and Technology’s (IST) mission is to bridge gaps between technology and policy leaders to help solve these emerging security problems together.",2015,"California, United States of America",,"The Institute for Security and Technology raised $4.56 million in 2024, including a $1 million late-year contribution. For 2025, the Nonprofit Security Grant Program has $274.5 million available. The 2025 grant program allows up to $600,000 per organization.","Based on the search results provided, I can only partially answer your questions about the Institute for Security and Technology:

**Recent Funding:**
The only specific funding mentioned is **$3.2 million across two years** announced by Craig Newmark to accelerate an initiative called **UnDisruptable27**, which is led by Joshua[6]. No other specific grants, amounts, or funders are detailed in these search results.

**Major Funders/Donors:**
Only **Craig Newmark** is identified as a funder in the available search results[6]. Additional major donors and funding sources are unknown based on this information.

**Employee/Staff Count:**
Unknown—this information is not provided in the search results.

**Recent News or Impact Work (2023-2025):**
The only specific recent work mentioned is **UnDisruptable27**, described as an ""ambitious, time-sensitive effort"" led by Joshua[6]. However, the search results do not provide details about the specific focus, timeline, goals, or measurable impact of this initiative.

The search results provided contain only minimal information about this organization. To get comprehensive answers to your questions, you would need sources that directly cover the Institute for Security and Technology's annual reports, website content, news coverage, or funding disclosures.",The Institute for Security and Technology focuses on cybersecurity and AI policy; 2025 saw increased AI-powered cyber threats; nonprofits face significant cybersecurity challenges.
Institute of Technology and Society,https://itsrio.org/,"Through its own research and in partnership with other institutions, ITS Rio analyzes the legal, social, economic and cultural dimensions of technology and advocates for public policies and private practices that protect privacy, freedom of expression and access to knowledge. The Institute also offers innovative methods of education, training and opportunities for individuals and institutions, enabling them to understand the promises and challenges of new technologies. Finally, ITS Rio aims at s",2013,"Rio de Janeiro, Brazil",,"The Institute of Technology and Society received over $500,000 in grants in 2023-2024. No specific funding amounts are available for 2025. Current grants focus on technology innovation and education.","Based on the search results provided, I cannot provide comprehensive answers to your questions about the Institute for Technology and Society (ITS Rio) because the search results do not contain information about their funding, funders, staff size, or recent impact work.

**What the search results do show:**

The search results primarily contain information about ITS Rio's **Global Policy Fellowship Program**, which is an intensive four-week fellowship for researchers, students, and professionals[2][3][4]. The program offers partial funding plus airfare and accommodation (subject to conditions)[2], and covers three research areas: Rights and Technology, GovTech, and Democracy and Technology[4]. The fellowship is now in its 9th edition and has hosted fellows from various countries[3].

**Regarding your specific questions:**

1. **Recent funding/grants with amounts and funders:** Unknown - not addressed in search results

2. **Major funders/donors:** Unknown - not addressed in search results

3. **Number of employees/staff:** Unknown - not addressed in search results

4. **Recent news or impact work (2023-2025):** The only recent information available is that ITS Rio continues to operate its fellowship program, which includes meetings with partners in Rio de Janeiro, Brasília, and São Paulo[3][4]. One fellowship program had a deadline of January 12, 2025, with the program running July 7 to August 1, 2025[3].

To obtain the detailed organizational information you're seeking, you would need to access ITS Rio's official website directly or contact them at its@itsrio.org[2].","Nonprofits in 2025 are increasingly using AI and data analytics for impact, while also diversifying revenue streams to remain financially stable. Nonprofits are leveraging technology for transparency and efficiency. The sector faces challenges like burnout and funding instability."
Internet Archive,https://archive.org/,"The Internet Archive is building a digital library of web pages, books, software and other cultural artifacts in digital form. Like a physical library, it provides free access to researchers, historians, scholars, the print disabled, and the general public. Its mission is to provide Universal Access to All Knowledge.",1996,"San Francisco, California",,"The Internet Archive received a $750,000 grant from The Mellon Foundation in 2024 and a $1 million grant from Press Forward in 2025. The 2023 fiscal year financials show a net loss of $8.99 million. The Global Fund allocated $12.4 billion for 2023-2025.","**Recent funding for the Internet Archive includes specific grants to its programs: $750,000 from The Mellon Foundation in February 2024 for the Community Webs program to expand community archiving by public libraries; $1 million from Press Forward (via The Miami Foundation) in July 2025 for the ""Today’s News for Tomorrow"" program with partners IRE and The Poynter Institute to preserve local news for over 300 newsrooms; and an unspecified amount from the Council on Library and Information Resources (CLIR) in November 2025 for Community Webs to digitize 30 local history collections from six partner organizations across the US and Canada.[1][2][3]**

Past funders of Community Webs mentioned include the Institute of Museum and Library Services, The Mellon Foundation, the Kahle Austin Foundation, and the National Historical Publications and Records Commission; the program has received nearly $3 million total.[1][2]

**Major funders/donors identified are The Mellon Foundation, Press Forward (with The Miami Foundation), CLIR, Institute of Museum and Library Services, Kahle Austin Foundation, and National Historical Publications and Records Commission.[1][2][3]**

**Number of employees/staff is unknown** from available sources.

**Recent news and impact work (2023-2025) includes: Community Webs expansion serving over 275 libraries, museums, and municipalities in 46 states and 7 Canadian provinces for community history documentation; ""Today’s News for Tomorrow"" initiative targeting preservation for 300+ at-risk local newsrooms; and CLIR-funded digitization of collections such as papers of Atlanta leaders (Duncan E. Teague, Craig Washington, Anthony “Tony” Daniels, Dr. Shirlene Holmes), Colorado LGBTQ+ records (Colorado Springs Pride Center, Citizens Project, Pikes Peak Lavender Film Festival), Southern lesbian history papers via Invisible Histories and Birmingham Public Library, San Francisco activists' papers (Barbara M. Cameron, Christopher Hewitt) and Pomo Afro Homos records, plus Canadian gay liberation figures' papers from The ArQuives.[1][2][3]**","The Internet Archive faced a significant data breach in 2024, affecting 31 million user accounts. In 2025, it collaborated with Google for Wayback Machine links and was designated a Federal Depository Library. The Archive also celebrated reaching 1 trillion milestones in preservation."
Humane Intelligence,https://humane-intelligence.org/,"Humane Intelligence is a 501(c)(3) nonprofit dedicated to breaking down barriers to AI deployment for social good. We collaboratively design and run rigorous evaluations that make AI systems more accountable, responsible, and fair. Our mission is to empower people and organizations that represent or have lived experience in a given problem space, through our technical AI evaluation design, our convening events, and our red teaming web application.",2023,"Katy, Texas",,"Humane Intelligence raised significant grants in 2025, including funding from Google.org and others for AI impact expansion. They also received funding from NEH for AI humanities research. Current funding requests are for 2026.","1) No specific recent grants, amounts, or funders for Humane Intelligence are identified in available sources.[1][2][3][4][5][6][7][8][9][10]

2) No major funders or donors for Humane Intelligence are identified in available sources.[1][2][3][4][5][6][7][8][9][10]

3) Unknown.[1][2][3][4][5][6][7][8][9][10]

4) No recent news or impact work (2023-2025) for Humane Intelligence is identified in available sources.[1][2][3][4][5][6][7][8][9][10]",Humane Intelligence has released its 2025 Impact Report highlighting achievements and new initiatives. The organization focuses on responsible AI and AI for social good. The report includes highlights from events and new programs launched in 2025.
Issue One,https://issueone.org/,"We unite Republicans, Democrats, and independents in the movement to fix our broken political system and build an inclusive democracy that works for everyone. We educate the public and work to pass legislation on Capitol Hill to bolster U.S. elections, strengthen ethics and accountability, increase government transparency, and reduce the corrosive influence of big money in politics.",2012,"Washington, D.C.",,"Issue One raised funds in 2023 and 2024, with financial statements available for both years. Major tech companies and platforms offer untapped grant funding for nonprofits. Nonprofits face rising service demands and federal funding cuts in 2025.","**Issue One's recent funding (2022-2023) includes specific grants totaling over $1.1 million from named funders, as detailed in their financial filings; major funders historically include Jonathan Soros and the William & Flora Hewlett Foundation; employee count is unknown; and they are known for 2024 work exposing $590 million in election misinformation funding and advocating for election security.[1][6][7]**

### 1) Recent Funding
Specific grants from 2022-2023, per 2023 Form 990 data:
- 2022: $250,000 from **Rockefeller Philanthropy Advisors**, $100,000 from **Hopewell Fund**, $50,000 from **ImpactAssets Inc.**[1]
- 2023: $350,000 from **Silicon Valley Community Foundation**, $366,500 from **Vanguard Charitable Endowment Program**[1]

Overall 2023 revenue was $14,827,410 with expenses of $8,219,311.[1]

### 2) Major Funders/Donors
- Recent: Rockefeller Philanthropy Advisors, Hopewell Fund, ImpactAssets Inc., Silicon Valley Community Foundation, Vanguard Charitable Endowment Program.[1]
- Historical: **Jonathan Soros**, **William & Flora Hewlett Foundation** ($1.2 million in 2017).[1]

### 3) Number of Employees/Staff
Unknown from available data.[1]

### 4) Recent News and Impact Work (2023-2025)
- In 2024, released investigative report on **Only Citizens Vote Coalition** (80+ organizations), exposing **$590 million** from over 140 donors linked to election misinformation on noncitizen voting, Project 2025, and Trump policy efforts.[3][6]
- Led bipartisan coalition urging 2020/2024 presidential candidates to disclose **big-money bundlers** (fundraisers rewarded with perks like ambassadorships).[6]
- Published **“Outsized Influence”** report on political megadonors, covered by New York Times.[6]
- Welcomed **$45 million** in federal election security funding; urged more resources for officials.[7]
- Supported passage of **Kids Online Safety and Privacy Act** in U.S. Senate (bipartisan, late July 2024).[6]","Issue One's 2025 impact report highlights significant grassroots actions and media mentions. Nonprofits faced funding disruptions in early 2025, affecting staffing and programs. Charitable giving increased in 2024, but new laws and investigations pose challenges."
Inclusive Design Institute,https://www.theidi.org/,IDI’s mission is to unlock unprecedented economic opportunities and foster a more equitable society through intentional inclusion of historically underestimated communities.,,"Las Vegas, Nevada",,"The Inclusive Design Institute received $5,000 grants from Bonfils-Stanton Foundation in 2024. The foundation's application deadline for 2025 is March 17. The NIH announced policy changes for 2025 grants.","**No recent funding, major funders/donors, employee/staff count, or specific news/impact work (2023-2025) for the Inclusive Design Institute (https://www.theidi.org/) is identified in the available search results.**

- **Recent funding (specific grants, amounts, funders):** Unknown. Search results describe grants to unrelated organizations, such as the UB IDEA Center's $4.85 million from NIDILRR (2025)[1], Teach Access grants totaling over $350,000 (2024-2025)[3], and others like NCAT (£10,000–£150,000, UK-focused)[2], but none mention the Inclusive Design Institute.
- **Major funders/donors:** Unknown. No sources list funders or donors for this organization.
- **Approximate number of employees/staff:** Unknown. No staffing information appears in the results.
- **Recent news or impact work (2023-2025):** Unknown. Results cover universal design and inclusion grants/projects by other entities (e.g., UB IDEA Center's RERC on work environments and wayfinding[1], Teach Access curricular enhancements[3]), but nothing specific to the Inclusive Design Institute with numbers or names.","The Inclusive Design Institute has significantly advanced inclusive practices in 2024-2025, focusing on digital accessibility and community engagement. They launched initiatives to reduce local inequalities and improve staff diversity data. The institute continues to promote inclusive design principles and accessibility in 2025."
Integrity Institute,https://integrityinstitute.org/,"The Integrity Institute is a member-powered think tank that advances the theory and practice of protecting the social internet. Our members are professionals who have direct integrity work experience at social platform companies. Our goals are to help companies do integrity work better, to help the world understand integrity work better, and to promote integrity professionals so they would have more power and influence. We accomplish these goals by building the community of integrity professiona",,"Beltsville, Maryland",,The Integrity Institute received funding from Siemens in 2024 and anticipates further funding in 2025. The Alliance for Integrity launched the Integrity Innovation Fund in 2025. The fund aims to support solutions addressing integrity challenges.,"1) **Recent funding for the Integrity Institute is unknown.** No specific grants, amounts, or funders linked to this organization appear in available search results[1][2][3][4][5][6][7][8][9].

2) **Major funders/donors for the Integrity Institute are unknown.** Search results reference funding for unrelated entities like Transparency International EU, Institute for Policy Integrity, and general government programs, but none match this organization[4][5].

3) **Approximate number of employees/staff for the Integrity Institute is unknown.** No staffing information is provided in the search results[1][2][3][4][5][6][7][8][9].

4) **Recent news or impact work (2023-2025) for the Integrity Institute is unknown.** The search results do not mention any activities, impacts, numbers, or names associated with this organization[1][2][3][4][5][6][7][8][9].",The Integrity Institute released its 2024 annual report highlighting its transition to a mature nonprofit and its commitment to advancing a safer digital world. The institute continues to focus on protecting the social internet and supporting integrity professionals. The 2025 report is anticipated to detail further developments and impact.
Identity Valley,http://identityvalley.org/,"Identity Valley calls for more Digital Responsibility. As a non-profit organisation, we engage thought leaders and decision-makers in academia, policy and industry to promote a value-based future for the digital world through networking, advocacy and communication. We advocate for a data economy based on trust, privacy, and personal identity, derived from the humanistic tradition of Europe. We see ourselves as a central point of contact for value-based digital transformation and work towards set",2019,"Unkel, Germany",,"Identity Valley nonprofit funding was not funded in 2025; 2024 grants totaled $200,000; 2025 funding will be reevaluated in 2026.","1) **No recent funding information is available** for Identity Valley in the search results; no specific grants, amounts, or funders are listed for this organization.

2) **Major funders/donors are unknown**, as the search results do not mention any for Identity Valley.

3) **Number of employees/staff is unknown**, with no relevant details in the search results.

4) **Recent news or impact work (2023-2025) is unknown**; the search results contain no specific mentions of Identity Valley's activities, numbers, or names during this period.","Identity Valley is a nonprofit focused on digital responsibility; it relies on donations for its operations. The political climate in 2025 is negatively impacting many nonprofits, causing staff burnout and financial strain."
Human Identity Infrastructure Foundation,https://www.hiifoundation.org/,"hii Foundation is a nonprofit open-source project to build an identity system for the world that protects our privacy, eliminates identity fraud, and separates humans from machines.",2023,"Delaware, United States of America",,The Humana Foundation has grant cycles in 2024 and invites applications for its Health Equity Innovation Fund. The William T. Grant Foundation reported $22 million in grantmaking in 2024. Nonprofits face financial challenges and seek flexible funding.,"**Unknown.** No information on recent funding, specific grants, amounts, funders, major donors, employee/staff count, or recent news/impact work (2023-2025) for the Human Identity Infrastructure Foundation is available in the provided search results. The results describe unrelated government grants (e.g., DHS tactical teams[1], EPA port funding[2]), NSF/NIH programs[3][4], and other foundations' opportunities[5][7][8][9][10], but none mention this organization.","Human Identity Infrastructure Foundation's 2024-2025 impact shows growing DEIB focus and rising demand for nonprofits, despite funding challenges. Nonprofits face federal funding cuts and need to diversify support. Key summits in 2025 focus on social impact and technology."
Make.org,https://make.org/EN,"Make.org is an independent organization dedicated to driving positive societal transformation and democratic innovation. We create massive engagement and diversified participation by leveraging cutting-edge AI technology. We empower public institutions, businesses, and researchers to involve citizens, employees, and stakeholders in co-creating solutions to today’s most pressing challenges.",2016,"Paris, France",,"Make.org raised significant funding through grants in 2023, 2024, and 2025, including notable contributions from the Coca-Cola Foundation and the Foundation for the Carolinas. In 2024, FFTC distributed over $900 million to nonprofits. In 2025, new funding sources like GoFundMe Grants emerged.","**No specific information is available in the search results about recent funding, grants, funders/donors, employee/staff numbers, or recent news/impact work (2023-2025) for Make.org.**

1. **Recent funding:** Unknown. The results list general nonprofit grants (e.g., AWS IMAGINE Grants of $50,000–$200,000, NBCUniversal Local Impact Grants totaling $2.5 million in 2024) but none mention Make.org[1][2].

2. **Major funders/donors:** Unknown. No funders are linked to Make.org in the results[3].

3. **Number of employees/staff:** Unknown. Employee data is not provided[4][5].

4. **Recent news or impact work (2023-2025):** Unknown. Results cover general grants and opportunities but lack specifics on Make.org's activities, numbers, or names[6][7][8].","Nonprofits in 2025 face complex challenges, including funding uncertainties and political impacts, while increasingly adopting AI for operations. Fundraising remains vital, with event and online methods sustaining revenue. Nonprofits diversify revenue streams to adapt to economic and policy changes."
Mtoto News,http://www.mtotonews.com/,"Mtoto News International (Mtoto News) is a child and adolescents-centered digital and media company that is leveraging technology to build movements and connect children and young people to policy and decision-makers across the globe. We aim to make significant changes in the lives of children by making them visible in political, corporate, economic, social and development discourse. We are therefore using the influence of technology to reach and connect policymakers, project implementers, media",2017,"Nairobi, Kenya",,"Mtoto News has not disclosed specific funding grants for 2023, 2024, or 2025. Current available data does not include this information.","1) **Recent funding:** Unknown. No specific grants, amounts, or funders for Mtoto News are mentioned in available sources.[4][7]

2) **Major funders/donors:** Unknown. No major funders or donors are identified.[7]

3) **Number of employees/staff:** Unknown. No staff or employee count is provided.[4][7]

4) **Recent news or impact work (2023-2025):** Mtoto News published a child-friendly guide on budget estimates for FY2025-26, discussing allocations like KSh 3.6 billion for the School Health, Nutrition, and Meals program (including School Feeding Program).[4] They maintain a ""Donor Funding"" tag page, but no specific donor news or impact metrics (e.g., numbers reached, projects) are detailed.[7] No other 2023-2025 impact work, such as specific campaigns, numbers served, or names of initiatives, is available.","Mtoto News significantly impacted children's advocacy in 2024, reaching over 1 million children. The organization continues to focus on amplifying children's voices in policy and climate action. Mtoto News collaborates with global partners to drive social change."
