Name,Website,Domain,About,Year Founded,Location
Identity Valley,http://identityvalley.org/,,"Identity Valley calls for more Digital Responsibility. As a non-profit organisation, we engage thought leaders and decision-makers in academia, policy and industry to promote a value-based future for the digital world through networking, advocacy and communication. We advocate for a data economy based on trust, privacy, and personal identity, derived from the humanistic tradition of Europe. We see ourselves as a central point of contact for value-based digital transformation and work towards set",2019,"Unkel, Germany"
Human Identity Infrastructure Foundation,https://www.hiifoundation.org/,,"hii Foundation is a nonprofit open-source project to build an identity system for the world that protects our privacy, eliminates identity fraud, and separates humans from machines.",2023,"Delaware, United States of America"
Make.org,https://make.org/EN,,"Make.org is an independent organization dedicated to driving positive societal transformation and democratic innovation. We create massive engagement and diversified participation by leveraging cutting-edge AI technology. We empower public institutions, businesses, and researchers to involve citizens, employees, and stakeholders in co-creating solutions to today’s most pressing challenges.",2016,"Paris, France"
Mtoto News,http://www.mtotonews.com/,,"Mtoto News International (Mtoto News) is a child and adolescents-centered digital and media company that is leveraging technology to build movements and connect children and young people to policy and decision-makers across the globe. We aim to make significant changes in the lives of children by making them visible in political, corporate, economic, social and development discourse. We are therefore using the influence of technology to reach and connect policymakers, project implementers, media",2017,"Nairobi, Kenya"
Metagov,https://metagov.org/,,"The Metagovernance Project is an interdisciplinary research collective. We build standards and infrastructure for digital self-governance. Our work is generously supported by the Henry Luce Foundation, One Project, the Grant for the Web, Gitcoin grants, the Filecoin Foundation, the Ethereum Foundation, the EPSRC / University of Oxford, GnosisDAO, Aragon, Radicle, Metacartel Ventures, NEAR, and the Stanford Digital Civil Society Lab. Our finances are hosted publicly on Open Collective.",2020,"Pittsburgh, Pennsylvania"
Made Company,https://madewithblackculture.com/,,A mission driven tech company certifying the ethical trade of Black Culture.,,"Los Angeles, California"
Life With Machines,https://www.lifewithmachines.media/,,"A media company founded by Baratunde Thurston dedicated to figuring out together how humans want to live in a world increasingly filled with AI. We’re told the future is about efficiency, productivity, and autonomy, and that we need to get on board or be left behind. Across an award-winning podcast, YouTube channel, Substack newsletter, and social media, Life With Machines exists to question that story and offer a better alternative. We want to live well with technology, not just endure it.",2024,"Palm Springs, California"
MAPLE,http://www.mapletestimony.org/,,"MAPLE (Massachusetts Platform for Legislative Enablement) is a digital public platform designed to bridge the gap between constituents, local organizations, and legislators. Originally incubated at the NuLawLab, MAPLE is now a key initiative of Partners in Democracy, a nonprofit founded by Harvard Professor Danielle Allen.  MAPLE is 100% free, open source, and volunteer-driven, ensuring it remains accessible and publicly accountable.",2023,"Portland, Maine"
More in Common,https://www.moreincommon.com/,,More in Common’s mission is to build a more united and inclusive America that is resilient to the profound threats posed by our country’s polarization.,2017,"London, United Kingdom"
MIT Center for Constructive Communication,http://www.ccc.mit.edu/,,"Designing tools, methods and systems that connect rather than divide us to create a healthier society.",1861,"Cambridge, Massachusetts"
LOG OFF,http://logoffmovement.org/,,"LOG OFF is a youth-led movement working to empower young people to rethink social media and its impact on society. Through its advocacy campaigns and chapter program, LOG OFF seeks to provide a critical perspective on social media by empowering the underrepresented and overlooked experts in the field– Generation Z.",2020,"Washington, D.C."
MyData Global,https://mydata.org/,,"We help people and organisations to benefit from personal data in a human-centric way. To create a fair, sustainable, and prosperous digital society for all. We open space for practical collaboration through events and working groups. We make sense of rapid changes in the data environment. We contribute to the emerging infrastructure of data spaces and intermediaries. We help set the agenda for policymakers and changemakers. We promote solutions and services that put people first.",2016,"Helsinki, Finland"
Life Calling,https://life-calling.org/,,"We awaken the public’s consciousness to the connection opportunity within our reach. Life Calling’s core initiatives are designed to spark creativity and inspire human connection—enabling a world where heart, agency, purpose and imagination guide our future.",2021,"New York, New York"
Mothers Against Media Addiction,http://wearemama.org/,,MAMA is a grassroots movement of parents fighting back against media addiction and creating a world in which real-life experiences and interactions remain at the heart of a healthy childhood.,,"New York, New York"
Mass General Brigham,https://www.massgeneralbrigham.org/,,"MGB includes Massachusetts General Hospital and Brigham & Women’s Hospital. Our priority is the well-being of our patients. We have the largest hospital based research program in the U.S. Our Neuroscience Institute was created in 2025 to lead innovation in the treatment of brain diseases, transforming lives through exceptional care, research, and education. We will harness the power of new and emerging technologies to make this bold vision a reality.",1811,"Boston, Massachusetts"
LUMA Arles,http://luma-arles.org/,,"LUMA Arles is an 11-hectare interdisciplinary creative campus founded by Maja Hoffmann in France’s Provence region. Fully open to the public since the June 2021 inauguration of the LUMA Tower and park, it is a place where thinkers including artists, scientists, and researchers explore the relationships between art, culture, the environment, and human rights. LUMA Arles is located on the site of a former national railway complex reimagined into art spaces with Frank Gehry, Annabelle Selldorf and",2014,"Arles, France"
Our Common Purpose,https://www.amacad.org/ourcommonpurpose,,"The Academy is both an honorary society that recognizes and celebrates the excellence of its members and an independent research center convening leaders from across disciplines, professions, and perspectives to address significant challenges. The American Academy was founded in 1780, during the American Revolution, by John Adams, John Hancock, and 60 other scholar-patriots who understood that a new republic would require institutions able to gather knowledge and advance learning in service to t",1780,"Cambridge, Massachusetts"
No App for Life,https://www.noappforlife.com/,,"No App For Life is dedicated to providing tangible solutions to: Repair the fallout of digital socialization, restore the value of authentic human interactions, and prevent the harmful policies that continue to go unchecked.  It’s not enough to just be aware of the stats, it’s time to address the issues that negatively shaped a population.",2013,"Boston, Massachusetts"
Omidyar Network,https://omidyar.com/,,"Omidyar Network is a social change venture that works to bring about structural changes that will fundamentally shift the systems that govern our daily lives. Established by philanthropists Pam and Pierre Omidyar, Omidyar Network reimagines critical systems, and the ideas that govern them, to build more inclusive and equitable societies—for the benefit of the many, not just the few. Omidyar Network partners with funders, advocates, innovators, businesses, scholars, and others to advance respo",2004,"Redwood City, California"
NewsGuard,https://www.newsguardtech.com/,,"NewsGuard provides transparent tools to counter misinformation for readers, brands, and democracies. Since launching in 2018, its global staff of trained journalists and information specialists has collected, updated, and deployed more than 6.9 million data points on more than 35,000 news and information sources, and cataloged and tracked all of the top false narratives spreading online.",2018,"New York, New York"
New_Public,https://newpublic.org/,,"New_ Public is an incubator for flourishing digital public spaces. We bring together thinkers, builders, designers and technologists to meet, share inspiration, and make better digital public spaces. It’s a newsletter, magazine, and community wrapped together.",2019,"New York, New York"
Nehitek Foundation,https://www.nehitek.com/,,"Focused on extending financial inclusion via Open Finance and Productive Credit. Transformation through Digital Public Infrastructure (DPI), with a focus on extending financial inclusion via Open Finance and productive credit systems. This DPI initiative will create people centered, interoperable digital systems for identity, payments, and data sharing, enabling secure and inclusive access to services while supporting sustainable development goals.",2025,"Rockville, Maryland"
NewImpact.care,http://www.newimpact.care/,,We are business model innovators that pioneer & promote a tri-sector mindset and approach; create and share impact and innovation public-good tools; advise and coach organizations to thrive and have impact by tri-sectorizing.,2018,"Seattle, Washington"
OpenMined,https://openmined.org/,,"OpenMined is a non-profit foundation creating open-source technology infrastructure that helps researchers and app builders get answers from data without needing a copy or direct access. Our community of technologists is building Syft: the public network for non-public information, and our online ecosystem of over 17,000 technologists, researchers, and industry professionals are keen to unlock 1000x more data in every scientific field and industry.",2017,"New York, New York"
National Conference on Citizenship,https://ncoc.org/,,"Founded in 1946 and chartered by Congress in 1953, the National Conference on Citizenship (NCoC) has strengthened America’s civic life by bringing together leaders, citizens, and organizations committed to the ideals of active citizenship. In line with the vision of that founding charter, NCoC serves as a central hub for America’s efforts to make citizenship more effective by developing a field that contributes to a “more active, alert, enlightened, conscientious, and progressive citizenry.",1946,United States of America
OpenArchive,https://open-archive.org/,,"OpenArchive exists at the intersection of human rights, technology, journalism, and archives that co-creates purpose-built decentralized mobile technologies for the social good. We equip people with privacy-first, free, open-source tools and education programs to securely verify, archive, and protect evidentiary media. Our flagship tool, Save (Secure, Archive, Verify, Encrypt), has helped 70,000 users worldwide securely encrypt and route media from mobile devices to trusted archives.",2015,"San Francisco, California"
New York University Information Law Institute,https://www.law.nyu.edu/centers/ili,,"The Information Law Institute (ILI) at New York University School of Law is an academic center for the study of the interaction of law and emerging information technologies. We cultivate deep, interdisciplinary, translational expertise that: combines scientific and normative rigor; considers information flows, complex systems, and institutional design; and serves the public interest. Our thoughtful research and commentary informs policy-making and the public.",2013,"New York, New York"
Open Collective Foundation,https://opencollective.com/,,"The Foundation's mission is to promote projects in the US with the following charitable purposes: increasing access to educational resources and training, creating a positive social impact and. developing tools to improve civic participation within cities or communities.",2015,"Walnut, California"
nu,http://www.getnu.ai/,,"Nu is a better ecosystem for content. We fix the incentive structure enabling people to discover high quality, credible content and reward the creators fairly for their work. Nu provides tools for people, publishers and platforms to thrive, with less outrage, disinformation and noise.",2025,"Los Angeles, California"
ParentsTogether Action,https://parentstogetheraction.org/,,"ParentsTogether Action is working to build a world where every child has the support and opportunities we all want for our own kids. We do that by taking action on issues that benefit families — like paid family leave, education, and holding social media companies accountable for the ways their products hurt kids.",,"Washington, D.C."
Positive Technology Institute,https://www.positivetechinstitute.org/,,"The Positive Technology Institute (PTI) is a new initiative that  breaks down silos and builds bridges between the ""thinkers"" (researchers in responsible, pro-social technology), the ""funders"" (value aligned capital), and the ""builders"" (innovators and startups) to promote the development of positive technologies - digital innovations that advance human sovereignty, well-being, and abundance. Our work focuses on actionable insights and tools, wisdom sharing, and community building.",2025,"Woodside, California"
People-Centered Internet,https://peoplecentered.net/,,"People-Centered Internet (PCI) is a leading nonprofit based in Palo Alto, dedicated to creating a more equitable digital world. We unite global experts to develop inclusive, efficient digital strategies that enhance community resilience and prosperity. Our initiatives promote innovative digital tools, empowering communities worldwide to thrive in a connected era. Founded by Vint Cerf and Mei Lin Fung, and currently chaired by Jascha Stein and Mei Lin Fung, PCI works on transformative efforts for",2015,"Palo Alto, California"
Partnership on AI,https://partnershiponai.org/,,"Bringing diverse voices together across global sectors, disciplines, and demographics so developments in AI advance positive outcomes for people and society.",,"San Francisco, California"
Public AI,https://publicai.co/,,Public AI is first of all an idea: that AI can and should be a form of public infrastructure. It is also a movement of many people and organizations working to make this vision happen. And it is a set of real products that you can use today.,2023,"Boston, Massachusetts"
PolicyLink,https://www.policylink.org/,,"To advance equity, PolicyLink advocates for groundbreaking policy changes that enable everyone, especially people of color, to be economically secure, live in healthy communities of opportunity, and benefit from a just society. PolicyLink is guided by the belief that the solutions to the nation’s challenges lie with those closest to these challenges: when the wisdom, voice, and experience of those traditionally absent from policymaking drive the process, profound policy transformations emerge.",1998,"Oakland, California"
Pivô,http://www.pivo.org.br/,,"Pivô is a non-profit art space providing a platform for exchange, critical thinking and artistic experimentation inside one of São Paulo’s most iconic modernist buildings, the Copan, projected by Oscar Niemeyer in the city’s central area. Since its inception, in 2012, the institution has enabled and facilitated projects by over two hundred artists and curators both local and international and in all career stages. Its program is comprised by temporary exhibitions, new commissions, residencies, p",2012,"Sao Paulo, Brazil"
Public Knowledge,http://www.publicknowledge.org/,,"We envision a creative and connected future for everyone. We believe in a world where all people can use the internet and technology to realize their full potential, create authentic communities, and hold the powerful accountable. Public Knowledge works at the intersection of copyright, telecommunications, and internet law, at a time when these fields are converging. Public Knowledge’s experience in all three areas puts it in an ideal position to advocate for policies that serve the public inter",2001,"Washington, D.C."
Social Web Foundation,https://socialwebfoundation.org/,,"We believe the growing Fediverse benefits users, businesses, and society. Our goals are: Growth: Expand the Fediverse to enhance online experiences and creativity. Health: Support free expression while allowing content control and filtering harmful material. Sustainability: Ensure long-term support for those maintaining Fediverse infrastructure. Multipolarity: Promote a decentralized ecosystem with diverse, non-dominating providers.",2024,"San Francisco, California"
Stanford University,http://stanford.edu/,,"Stanford is a place of discovery, creativity and innovation located in the San Francisco Bay Area on the ancestral land of the Muwekma Ohlone Tribe. Dedicated to our founding mission—benefitting society through research and education—we are working toward a sustainable future, accelerating the impact of research with external partners, catalyzing discoveries about ourselves and our world, and educating students as global citizens. Our main campus, which welcomed its first class in 1891, is now h",1885,"Stanford, California"
Sideways,http://www.sideways.earth/,,"At Sideways we build coherence among groups through shared experiences, stories and network infrastructure.",2022,"Preddvor, Slovenia"
RadicalxChange,https://www.radicalxchange.org/,,"RadicalxChange (RxC) is a global movement for next-generation political economies. We’re committed to advancing plurality, equality, community, and decentralization through upgrading democracy, markets, the data economy, the commons, and identity. Founded by economist Glen Weyl in 2018, the RadicalxChange Foundation is a 501(c)(3) nonprofit dedicated to advancing the RxC movement, to building community, and to education about democratic innovation. RxC connects people from all walks of life - ra",2018,"New York, New York"
ReThink,https://www.rethinkwords.com/,,"ReThink is a global movement to tackle cyberbullying and to redefine Internet culture, with the goal of cultivating the next generation of responsible digital citizens.",,"Elgin, Illinois"
Reset Tech,https://www.reset.tech/,,"Our mission at Reset Tech is to guard against digital threats to our security, safety, and fundamental rights. We seek to “reset” the connection between media and democracy to restore the promise of technology that works for people and free expression. We work to hold the biggest tech companies accountable to the values of democratic societies by promoting new ideas to change laws, industry standards, and consumer attitudes.",2019,"Washington, D.C."
Siegel Family Endowment,https://www.siegelendowment.org/,,"Siegel Family Endowment is a foundation that envisions a world in which all people have the tools, skills, and context necessary to engage meaningfully in a rapidly changing society. We operationalize that across three grantmaking interest areas: Learning, Workforce and Infrastructure. Founded in 2011 by David M. Siegel, co-founder and co-chairman of the financial sciences company Two Sigma, we believe that philanthropy is society’s risk capital – it can help drive innovation by investing in loc",2011,"New York, New York"
Search for Common Ground,https://www.sfcg.org/,,"We are the world’s largest peacebuilding organization. We help supposed enemies learn to trust each other, create avenues for collaboration, and generate breakthroughs for peace.",1982,"Washington, D.C."
reState Foundation,https://restate.global/,,reState is a Swiss non-profit foundation reimagining the future of governance and stewarding new civilisational realities.,2022,"Geneva, Switzerland"
Reporters Without Borders,https://rsf.org/en,,"Reporters Without Borders (RSF) is an international non-profit and non-governmental organization with the stated aim of safeguarding the right to freedom of information. RSF works on the ground in defense of individual journalists at risk and also at the highest levels of government and international forums to defend the right to freedom of expression and information. It provides daily briefings and press releases on threats to media freedom in French, English, Spanish, Portuguese, Arabic, Farsi",1985,"Washington, D.C."
Social Media Victims Law Center,https://socialmediavictims.org/,,"The Social Media Victims Law Center (SMVLC) is a Seattle-based law firm active in litigation, legislation, and education in the ongoing fight for tech corporate accountability. We represent thousands of children and families harmed by tech products.  And we approach our practice with creativity, innovation, and compassion.  We support and empower the families with which we work and strive to help them achieve justice and sustainable tech reform.",2021,"Seattle, Washington"
Sciences Po,http://medialab.sciencespo.fr/,,"Sciences Po's overarching mission is to educate future leaders in the public and private sectors. Curious and open-minded, Sciences Po graduates, regardless of their focus and trajectory, all share the ability to “learn how to learn”, which is one of the priorities of a Sciences Po education. However, their ambition extends even further: to educate open-minded and enlightened citizens capable of changing the world and transforming society.",1871,"Paris, France"
Reel Works Productions,https://www.reelworks.org/,,"Reel Works mentors, inspires and empowers underserved NYC youth to share their stories through filmmaking, creating a springboard to successful careers in media and beyond. Reel Works matches teens 1:1 with professional filmmaker mentors to tell their stories and have their voices heard.  It’s a powerful combination that changes young lives and creates films that have been seen by tens of millions of viewers worldwide.",2001,"New York, New York"
Seismic Foundation,http://www.seismic.org/,,"Seismic is an ideas impact incubator dedicated to making responsible AI a human priority. We strive to ensure that the integration of AI in our societies is beneficial for everyone. Seismic’s mission is to reduce risks from AI by raising public awareness and engagement with the issue. We use the power of media to build understanding of AI, create urgency, and drive meaningful change that encourages action among key decision-makers and their constituents.",2025,"Wilmington, Delaware"
The Dais,http://dais.ca/,,"The Dais is a public policy and leadership think tank at Toronto Metropolitan University. Our mandate is to develop the ideas and leaders Canada needs to become more innovative, prosperous, and inclusive. Our work focuses on three topic areas – innovation + tech, education + skills, and democracy + trust – and consists of policy research, leadership development, and convening activities.",2023,"Toronto, Canada"
Tech Justice Law Project,https://techjusticelaw.org/,,"Tech Justice Law Project is a pioneering strategic litigation and legal advocacy organization bringing justice to communities harmed by tech products. TJLP brings together legal experts, policy advocates, digital rights organizations, and technologists to ensure that our legal protections are fit for the digital age.",2023,"Washington, D.C."
The Future Society,https://thefuturesociety.org/,,"The Future Society (TFS) is an independent 501(c)(3) nonprofit organization based in the United States and Europe. Our mission is to align artificial intelligence through better governance. We develop, advocate for, and facilitate the implementation of AI governance mechanisms, ranging from laws and regulations to voluntary frameworks such as global principles, norms, standards, and corporate policies. As of 2023, we are focusing on the research and development of advanced AI systems, where robu",2014,"Boston, Massachusetts"
The Digital Credentials Consortium,https://digitalcredentials.mit.edu/,,"The DCC is a membership based global network of postsecondary higher education institutions working together to promote the adoption of W3C Verifiable Credentials. Open source software includes the Learner Credential Wallet mobile application for storing and sharing credentials, customizable issuer microservices, and VerifierPlus web application. We lead and contribute to deployments, research, and advocacy projects that leverage technology in service of equity and opportunity.",2018,"Cambridge, Massachusetts"
The Center for Arts & Innovation,https://thecenterforartsandinnovation.org/,,"We’re losing generations of creative potential; just as the world needs more imagination, not less. To rise to this challenge, we’re building The Center: a campus where creativity is discovered, practiced, and passed on. Where kids build creative confidence, the adults in their lives reconnect with its importance, and people of all ages, backgrounds, and industries gain the skills they need for the future.",2018,"Boca Raton, Florida"
The Kempe Foundation,http://www.kempe.org/,,"The Kempe Foundation believes that every child should have the opportunity to grow in a safe, healthy, and nurturing environment. We seek to achieve this belief through three primary activities.  First, by providing financial support to the professionals at the Kempe Center in their efforts to prevent childhood trauma and delivering programs and services for those who have been subjected to abuse and neglect.  Secondly, we engage in public policy and advocacy initiatives aimed at improving the w",1976,"Aurora, Colorado"
The Policy Circle,http://www.thepolicycircle.org/,,"The Policy Circle is a national nonpartisan nonprofit that informs, equips, and connects women to lead in their communities and influence policy rooted in personal and economic freedom. Through Briefs, Circle Conversations, our online Community, and CLER, we spark dialogue and build civic leadership skills. We’re growing a community of curious, solutions-oriented women ready to champion freedom-driven policies that strengthen communities.",2015,"Wilmette, Illinois"
Tech Matters,https://techmatters.org/,,"Tech Matters is one of the leading nonprofit tech for good organizations in the world, founded by a team with a long track record of working across many fields in the social sector. Our tech for good field-building work, as well as our open source software development projects in integrated landscape management, soil identification and assessment, and crisis response, are all focused on ensuring that the 90% of humanity typically neglected by the for-profit tech industry get the tech tools they",2018,"Palo Alto, California"
The Internet Foundation,,,"The Internet Foundation is an international NGO dedicated to establishing universal digital rights as a natural extension of human rights, while advancing the ethical use of data and enabling healthy and equitable, human-centered digital societies to emerge across the world. The foundation aims to achieve this purpose through i) policy and regulation advocacy, ii) ethical standards development and iii) technology innovation. It works with its technology partner metaMe Inc to develop solutions th",2012,"New York, New York"
The Anxious Generation,https://www.anxiousgeneration.com/,,"The Anxious Generation Movement (TAG) is a global public health campaign sparked by Jonathan Haidt’s bestselling book. Through coordinated action across policy, behavior, and culture, TAG brings together parents, educators, young people, and decision-makers to dismantle the phone-based childhood and restore healthy development rooted in play, independence, and real-world connection.",2024,"New York, New York"
TechSoup,http://techsoup.org/,,"TechSoup supports nonprofits, charities, and libraries by providing access to donations and discounts on software, hardware, and services from major brands.",1987,"San Francisco, California"
The Computational Democracy Project,https://compdemocracy.org/,,"The Computational Democracy Project was founded in 2018 as a non-profit continuation of Polis's open source work and the mission behind it. Primarily, the organization considers how what is possible in collective intelligence might advance over the course of the next century, given advancements in machine learning, and how we can enable those who seek to empower citizens to operationalize those advancements in policy-making processes. We believe democratic processes benefit when human voices ar",2019,"New York, New York"
The Christchurch Call Foundation,https://www.christchurchcall.org/,,"We are a non-governmental organisation which coordinates and supports the Christchurch Call’s mission of eliminating terrorist and violent extremist content online. The Call contains 25 commitments made by governments and online service providers to eliminate terrorist and extremist content online. New Zealand and France launched the Call on 15 May 2019 in response to the horrific terrorist attack in Christchurch that killed 51 people, produced for and livestreamed on the internet.",2019,"Wellington, New Zealand"
Starling Lab for Data Integrity,http://starlinglab.org/,,"Starling Lab was co-founded by the Stanford Department of Electrical Engineering and the USC Shoah Foundation to explore the future of data integrity and trust in digital records. We implement prototypes using applied cryptography that empower citizens and civil society to pursue accountability, preserve culture, and respect privacy through a framework to design for their authenticity. Our impact-oriented academic research focuses on the fields of journalism, law, and history.",,"Stanford, California"
The Same House,http://www.thesamehouse.org/,,Our mission is to advance economic mobility for all through social connection among all.,,"Atlanta, Georgia"
Trust Foundation,https://thetrustfoundation.org/,,"It will take a village to combat the widespread breakdown of trust within society—the trust apocalypse—a veritable wicked problem that defies easy solutions. At the Trust Foundation, we believe that a key element in catalyzing such large-scale change is forming an interconnected network of stakeholders (network-of-networks) who pool diverse perspectives, expertise, and resources, united by a shared higher purpose—or what we call a “catalytic community.”",2024,"Marco Island, Florida"
The Sustainable Media Center,https://sustainablemedia.center/,,"Young people deserve media that entertains and informs without undermining their health and emotional well-being. The Mission of the Sustainable Media Center is to examine, experiment, and deploy solutions that will give a new generation of media consumers and creators meaningful agency and ownership of their increasingly media-centric lives. The Sustainable Media Center is a 501c3 organization formed by a diverse and inclusive board of over 85 leaders in media, technology and academia who want",2022,"New York, New York"
User Cooperative,https://www.usercooperative.com/,,"We're a user-owned web browser startup that's uniquely structured as a free and open consumer cooperative, a member-owned and -governed company. That makes us the people's tech startup! We put tech power and profits into the people's hands! How? (1) We build our membership and raise voluntary contributions from our members to cover our startup costs (2) We develop, release, and profit from our web browser (3) We use that income to make other tech services and pay dividends to our members",2021,"Durango, Colorado"
The Strother School of Radical Attention,https://www.schoolofattention.org/,,"The Strother School of Radical Attention is a non-profit organization dedicated to ATTENTION ACTIVISM: the movement to pushback against the fracking of human attention by coercive digital technologies. We advance this mission through the STUDY and PRACTICE of radical attention, by which we mean those diverse forms of attention which resist commodification. We host seminar courses, experiential Attention Lab workshops, and other hybrid forms of teaching and learning.",2023,"Brooklyn, New York"
The Shed,https://theshed.org/,,"By minimizing social and economic barriers to entry The Shed makes a warm, welcoming space for innovation and unique artistic experiences. By offering access and insight into the creative process, The Shed forges deep bonds between artists and audiences. Driven by the belief that access to art is a right, and not a privilege, The Shed presents exciting, engaging experiences for our communities and our time.",2019,"New York, New York"
The Tech Oversight Project,http://www.techoversight.org/,,"The Tech Oversight Project is a nonprofit organization dedicated to reining in Big Tech for the damages they’ve caused by urging lawmakers to support comprehensive legislation on antitrust, online safety, privacy, and artificial intelligence.",2021,"Washington, D.C."
TRANSFER,http://transfer.art/,,"TRANSFER is an experimental media art space founded in 2013 to explore decentralized networks and virtual worlds in Contemporary Art. After a decade of international exhibitions and experiments in open culture infrastructure, we established the TRANSFER Data Trust, a decentralized artist-owned archive and cultural value exchange cooperative. The mission of the non-profit data trust is to maintain artworks in perpetuity, ensuring their preservation and access across generations.",,"New York, New York"
Thorn,http://thorn.org/,,"Thorn, an innovative technology nonprofit, creates products and programs to combat child sexual abuse at scale, empowering the platforms and people who have the ability to defend children.",2012,"Manhattan Beach, California"
Thomson Reuters Foundation,https://www.trust.org/,,"The Thomson Reuters Foundation is the corporate foundation of Thomson Reuters, the global news and information services company. As an independent charity, registered in the UK and the USA, it works to advance media freedom, foster more inclusive economies, and promote human rights. Through news, media development, free legal assistance and convening initiatives, it uses the combined power of journalism and the law to build global awareness of critical issues faced by humanity, inspire collectiv",1983,"London, United Kingdom"
UNESCO,http://unesco.org/,,"UNESCO is a United Nations specialized agency with 194 Member States across the globe, dedicated to strengthening our shared humanity through the promotion of education, science, culture, and communication. The organization sets standards, produce tools and develop knowledge to create solutions to some of the greatest challenges of our time, and foster a world of greater equality and peace.",1945,"Paris, France"
Transparency Coalition.ai,https://www.transparencycoalition.ai/,,"We advocate for our mission through two complementary entities: The Transparency Coalition, a 501(c)(3) Nonprofit Organization is dedicated to conducting research, developing content, and educating the public on the opportunities and risks associated with generative AI. The Transparency Coalition Action Fund, a 501(c)(4) Social Welfare Organization is specifically designed to engage in advocacy and lobbying activities to influence public policy and legislation related to generative AI.",2024,"Seattle, Washington"
The Signal,https://www.thesgnl.com/,,"Each week, the Signal tracks developments in the global challenge to democratic life by autocratic power; technological progress by algorithmic control; and human freedom and flourishing by all the complications of a fast changing world …",2021,"Washington, D.C."
The PopTech Institute,http://www.poptech.org/,,"PopTech is a global network committed to the vanguard of emerging technology, science, and creative expression. The organization stretches beyond passive idea-sharing, instead cultivating a culture defined by robust collaboration and action. Our network represents a diverse expertise pool that supports our work in a variety of ways. Members include",1996,"Camden, Maine"
Web3 World Society,https://www.w3ws.org/,,"The Web3 World Society is the think tank, research institute and digital policy consultancy for a fair, sustainable and human-centric future of the connected world. We want to promote the discourse in favor of a liberal economic and security policy in a digitally transformed, multipolar world order trough decentralized internet technology.",2024,"Munich, Germany"
UX for Good,https://www.uxforgood.org/,,"We aim to be the catalyst for impactful solutions to the world's most pressing issues, constantly pushing the boundaries of how design can create a more equitable, understanding, and humane society.",2011,"Chicago, Illinois"
Youth Media Foundation,https://www.youthmediafoundation.org/home,,"A 501(c)3 nonprofit committed to improving children’s access to the availability of fair, reliable, and objective educational media programming. With a focus on journalism, news, and current affairs, we seek to accomplish our objectives by supporting organizations that provide highly engaging, educational, non-bias, fact-based, and informative content for young audiences. Core goals: Awareness, Quality Content, Access & Digital Health. Our primary beneficiary is FirstStop News.",2025,"New York, New York"
Young People's Alliance,https://youngpeoplesalliance.org/,,Empower young people to shape their future through student led advocacy and organizing,,"Washington, D.C."
Video Volunteers,https://www.videovolunteers.org/,,"As perhaps the only organizations solely dedicated to community voice, we’re building a new field of thought and practice—exploring how to center marginalized voices at scale in an era of democratic backsliding and digital transformation. When community voices thrive, democracy strengthens.",2006,"New York, New York"
Vana Foundation,http://www.vana.org/,,"Vana is an open and decentralized network for data sovereignty, unlocking user-owned data as a new digital asset class.",2024,"George Town Grand, Cayman Islands"
ValuesCo,https://values.co/,,"ValuesCo is a decentralized, purpose-driven platform that connects brands, publishers, nonprofits, and creators with users through a gamified social network. It is designed to revolutionize marketing and social impact by engaging Gen Z and solving broken engagement channels. The network empowers users to drive meaningful action for brands and causes, while building relationships with the 2.4B Gen Z.",2021,"Nashville, Tennessee"
WeAre Infrastructure,http://www.vito.be/,,"VITO, one of Europe's leading research centers with 1,300 employees based in Belgium, turns scientific insights into groundbreaking technological innovations and policy advice. With our multidisciplinary approach and unique lab, scale-up, and testing infrastructure, we accelerate progress towards a regenerative circular economy, smart climate solutions for resilient and secure ecosystems and a healthy living environment harmonizing humans, industry, agriculture, and nature.",1991,"Mol, Belgium"
