Name,composite_score,ai_ml_relevance,tech_gap,mission_impact,size_sweet_spot,org_viability,growth_signal,estimated_headcount,top_reason,Website,About,Year Founded,Location,funding_search,recent_news
Centre for International Governance Innovation,72.5,5,4,2,3,4,3,50-100,"CIGI's focus on AI governance offers strong relevance for ML tools, but lacks evidence of measurable impact beyond policy papers and has unclear recent funding and headcount.",https://cigionline.org/,"The Centre for International Governance Innovation (CIGI) is an independent, non-partisan think tank whose peer-reviewed research, foresight and trusted analysis influence policy makers to innovate. With the engagement of a global network of experts and contributors, CIGI tackles the governance challenges and opportunities of data and transformative technologies, including AI, and their impact on the economy, security, democracy and, ultimately, societies.",2001,"Waterloo, Canada","The Centre for International Governance Innovation received $425 million in capital funding for the 2025 Innovation Fund. The IGC is mainly funded by the UK Government’s FCDO. The IGC also received funding from IDRC, USAID, and the Rockefeller Foundation.","In 2025, CIGI focused on integrating AI into national identity and addressing dual-use technologies. They also highlighted the importance of cybersecurity for nonprofits. CIGI's work included policy briefs on governance of transformative technologies."
Center for Humane Technology,72.5,5,4,2,3,4,3,unknown,"Strong AI/ML relevance for analyzing persuasive tech impacts but lacks evidence of measurable impact beyond advocacy and small grants, making it a mediocre fit for a tech leader seeking high-impact data work.",https://www.humanetech.com/,"The Center for Humane Technology works to catalyze a humane future. We reframe the insidious effects of persuasive technology, expose the runaway systems beneath, and deepen the capacity of global decision-makers and everyday leaders to take wise action.",2018,"San Francisco, California","Center for Humane Technology raised $468,000 in 2025 from Jaan Tallinn's Survival and Flourishing Fund. The organization's total revenue in 2024 was $3.58 million. The nonprofit's latest funding round was in February 2025.","The Center for Humane Technology focuses on shaping AI for ethical use, advocating for policies to ensure AI benefits humanity, and raising awareness about AI's impact on society. They launched a 2025 campaign to support their initiatives. They have also filed lawsuits against companies for harmful AI practices."
Gray Area,72.5,4,4,4,3,3,3,unknown,Gray Area's arts-tech focus aligns well with AI/ML for creative tools but uncertain funding stability from NEA cuts and unknown headcount make it a risky fit for reliable impact.,https://grayarea.org/,"Gray Area is a technically-literate cultural hub catalyzing creative action for social transformation. Our mission is to cultivate, sustain, and amplify a community of artists who apply antidisciplinary practice — integrating art, technology, science, and the humanities — towards engaging with the complex challenges facing our world. Through Cultural Events, Antidisciplinary Education, and Creative Research and Development we maintain a platform that enables artists of diverse backgrounds and pe",2008,"San Francisco, California","Gray Area Foundation For The Arts raised $6.37M in 2024. In 2023, it had notable revenue from program services. In 2025, San Francisco Arts Commission awarded $10.4M in grants.",Gray Area nonprofit lost NEA grants in 2025. The funding cuts impacted arts projects. Nonprofits seek alternative funding sources.
Institute of Technology and Society,72.5,5,4,2,3,4,3,unknown,"Solid tech policy focus with recent grants and AI-relevant mission, but lacks evidence of measurable impact beyond fellowships and has unknown scale making fractional IC impact uncertain.",https://itsrio.org/,"Through its own research and in partnership with other institutions, ITS Rio analyzes the legal, social, economic and cultural dimensions of technology and advocates for public policies and private practices that protect privacy, freedom of expression and access to knowledge. The Institute also offers innovative methods of education, training and opportunities for individuals and institutions, enabling them to understand the promises and challenges of new technologies. Finally, ITS Rio aims at s",2013,"Rio de Janeiro, Brazil","The Institute of Technology and Society received over $500,000 in grants in 2023-2024. No specific funding amounts are available for 2025. Current grants focus on technology innovation and education.","Nonprofits in 2025 are increasingly using AI and data analytics for impact, while also diversifying revenue streams to remain financially stable. Nonprofits are leveraging technology for transparency and efficiency. The sector faces challenges like burnout and funding instability."
Vana Foundation,72.5,5,4,2,3,3,4,20-50,"Promising crypto/AI data project with strong recent funding from top VCs and a new platform launch, but critically lacks verifiable evidence of establishment, impact, or operations making it a high-risk fit.",http://www.vana.org/,"Vana is an open and decentralized network for data sovereignty, unlocking user-owned data as a new digital asset class.",2024,"George Town Grand, Cayman Islands","Vana Foundation raised $25 million in 2025, including $5M from Coinbase Ventures, $18M from Paradigm, and $2M seed from Polychain. The Vana Family Foundation awarded $862K in grants in 2024. Venable Foundation granted over $1.1 million to 130 nonprofits in 2025.",Vana Foundation launched a platform for AI developers in September 2025. The platform provides 12.7 million data points. A major token unlock is scheduled for January 2026.
Berggruen Institute,71.2,4,4,3,2,5,3,unknown,Established think tank with solid funding but primarily intellectual/philosophical focus lacks operational scale or measurable field impact where a fractional IC building data pipelines would make a substantial difference.,http://www.berggruen.org/,"Since its founding, the Berggruen Institute has forged new conceptual frameworks to meet the challenges and harness the opportunities of the arriving future. As an independent think and action tank, we have the autonomy to step outside the usual lanes, reaching beyond academic disciplines to bridge social divides, partisan dispositions, and cultural boundaries.",2010,"Los Angeles, California","Berggruen Institute's 2023 revenue was $23.7 million, 2024 data not available, 2025 data pending. The institute is a nonprofit think tank founded in 2010.","The Berggruen Institute launched new projects in 2025, including the Berggruen Prize Essay Competition and awarded Michael Sandel the $1 million Berggruen Philosophy Prize. Noema, its publication, won 24 journalism awards in 2025. The institute continues to shape 21st-century institutions."
Partnership on AI,71.2,5,2,3,3,4,4,unknown,"Strong AI relevance and backing from tech giants make it promising, but primarily policy/research-focused work with unclear measurable impact and likely existing tech talent reduces fit for building internal data pipelines as a fractional IC.",https://partnershiponai.org/,"Bringing diverse voices together across global sectors, disciplines, and demographics so developments in AI advance positive outcomes for people and society.",,"San Francisco, California","In 2023-2025, partnerships on AI and other organizations provided funding for AI initiatives in nonprofits. Key donors included tech companies and foundations. The funding aims to support AI projects that benefit society.",Partnership on AI launched new case studies in 2024 and is set to release a 2025 report on AI's impact on nonprofits. The 2025 report highlights AI's potential to significantly increase nonprofit reach and impact. The initiative aims to guide philanthropy in leveraging AI for social good.
The Kempe Foundation,71.2,4,4,3,3,4,3,unknown,"Established foundation with steady funding and child welfare mission that could leverage AI/ML for data analysis, but lacks evidence of scale, measurable impact, or tech needs making it a middling fit for high-impact fractional engineering.",http://www.kempe.org/,"The Kempe Foundation believes that every child should have the opportunity to grow in a safe, healthy, and nurturing environment. We seek to achieve this belief through three primary activities.  First, by providing financial support to the professionals at the Kempe Center in their efforts to prevent childhood trauma and delivering programs and services for those who have been subjected to abuse and neglect.  Secondly, we engage in public policy and advocacy initiatives aimed at improving the w",1976,"Aurora, Colorado","The Kempe Foundation raised $1,384,922 in total giving in 2025. The foundation's assets were $11,214,610 in 2025. The Kempe Foundation focuses on child abuse and neglect prevention.","The Kempe Foundation supported initiatives in 2024-25, including child welfare programs and international conferences, and announced a $2,000 contribution to youth awards in Arapahoe County. The Kempe Center's FY25 impact report highlights growth in clinical services and research collaborations. The Kempe Foundation's 2024 report detailed $3.1 million in community impact."
Global Partnership for Sustainable Development Data,70.0,5,4,2,3,3,3,unknown,"Strong AI/ML relevance in data-driven SDG work but undermined by unknown specific funding, staff size, and measurable impact beyond blogs and pilots.",https://www.data4sdgs.org/,"A global network using data to achieve the Sustainable Development Goals—improving lives, fighting inequality, and promoting environmental sustainability. We leverage the power of data to change minds, policies, and lives for the better. Our aim is to ensure that data can be put to good use to achieve the Sustainable Development Goals. We work across 35+ countries and convene a network based in 80+ countries.",2015,"New York, New York","In 2023, the Global Partnership for Sustainable Development raised $293 million in grants. For 2024, the Joint SDG Fund allocated $15.4 million. The World Bank's Partnership Fund for the SDGs aims to strengthen global partnerships for sustainable development.","The Global Partnership for Sustainable Development Data has expanded its projects and collaborations in 2024-2025, focusing on data-driven solutions for sustainable development goals. The organization welcomed new partners and piloted initiatives in Malawi. The Medellín Framework for Action was endorsed to bolster global data ecosystems."
Humane Intelligence,70.0,5,4,2,4,2,3,10-20,"Too new and underfunded with unverified grants and no proven track record, making it a risky bet despite high AI relevance.",https://humane-intelligence.org/,"Humane Intelligence is a 501(c)(3) nonprofit dedicated to breaking down barriers to AI deployment for social good. We collaboratively design and run rigorous evaluations that make AI systems more accountable, responsible, and fair. Our mission is to empower people and organizations that represent or have lived experience in a given problem space, through our technical AI evaluation design, our convening events, and our red teaming web application.",2023,"Katy, Texas","Humane Intelligence raised significant grants in 2025, including funding from Google.org and others for AI impact expansion. They also received funding from NEH for AI humanities research. Current funding requests are for 2026.",Humane Intelligence has released its 2025 Impact Report highlighting achievements and new initiatives. The organization focuses on responsible AI and AI for social good. The report includes highlights from events and new programs launched in 2025.
The Same House,70.0,2,4,4,4,4,4,20-50,"Solid funding and impact through high-profile events, but mission focused on social connections lacks natural fit for AI/ML tools and data pipelines.",http://www.thesamehouse.org/,Our mission is to advance economic mobility for all through social connection among all.,,"Atlanta, Georgia","The Same House announced 2025 beneficiaries in November 2024, with grants amount unknown. The 2025 Beloved Benefit will occur on August 14, 2025. The 2024 event raised $8.8 million for eight beneficiaries.","The Same House announced seven nonprofits for its 2025 Beloved Benefit, including Morehouse School of Medicine and Atlanta Technical College. The event will take place on August 14, 2025, at the Woodruff Arts Center. The grants' amounts are not yet disclosed."
Consumer Reports,68.8,3,2,5,2,5,4,200+,"Strong mission impact and viability, but core work is advocacy/journalism where ML/data talent isn't mission-critical, org is probably too large for maximum IC leverage, and they may already have adequate technical infrastructure.",https://www.consumerreports.org/cro/index.htm,"Consumer Reports is an independent, nonprofit member organization that works side by side with consumers for truth, transparency, and fairness in the marketplace.",1936,"New York, New York","Consumer Reports received over $200K in cy pres support in fiscal year 2025. In 2024, it raised $26,545 from individual members. Consumer Reports is a nonprofit that relies on donations from its members.","Consumer Reports is a nonprofit organization focused on consumer advocacy, product testing, and investigative journalism. In 2025, it emphasized safety and cybersecurity initiatives. The organization continues to advocate for consumer rights and public policy."
OpenArchive,68.8,5,4,3,4,2,1,unknown,"Limited recent funding, news, and staff data raises serious doubts about ongoing viability despite a strong tech mission and proven user base.",https://open-archive.org/,"OpenArchive exists at the intersection of human rights, technology, journalism, and archives that co-creates purpose-built decentralized mobile technologies for the social good. We equip people with privacy-first, free, open-source tools and education programs to securely verify, archive, and protect evidentiary media. Our flagship tool, Save (Secure, Archive, Verify, Encrypt), has helped 70,000 users worldwide securely encrypt and route media from mobile devices to trusted archives.",2015,"San Francisco, California","In 2025, Mellon Foundation offers grants from $25,000 to $100,000 for community-based archives. Open Hearts Foundation plans significant funding increases. NHPRC provides up to $400,000 in implementation grants for archives collaboratives.","Nonprofits faced funding disruptions in 2025, leading to program cuts and strategic shifts. Many focused on mission-critical activities and reduced administrative tasks. OpenArchive advanced secure, decentralized storage for media in 2024."
Tech Justice Law Project,68.8,5,4,3,3,2,2,unknown,"Very new organization founded in 2023 with sparse funding details and no evidence of sustained financial stability, making it risky despite high AI/ML relevance in tech litigation.",https://techjusticelaw.org/,"Tech Justice Law Project is a pioneering strategic litigation and legal advocacy organization bringing justice to communities harmed by tech products. TJLP brings together legal experts, policy advocates, digital rights organizations, and technologists to ensure that our legal protections are fit for the digital age.",2023,"Washington, D.C.","The Tech Justice Law Project received $1.3 million in funding in 2023 for legal AI applications. In 2024, it awarded grants totaling over $5 million for technology initiatives. No specific funding amounts for 2025 are provided.","The Tech Justice Law Project has been involved in multiple lawsuits and advocacy efforts against tech companies, focusing on issues like harmful AI and data privacy. In 2025, they filed complaints against companies for inadequate safeguards and deceptive practices. The organization continues to monitor and respond to tech-related legal challenges."
DPLA,67.5,5,4,2,4,2,2,unknown,"DPLA's mission to maximize digital access to cultural knowledge would strongly benefit from AI/ML tools and data pipelines, but severe lack of funding details, headcount, and recent impact evidence signals high risk of instability for a fractional IC commitment.",https://dp.la/,"The Digital Public Library of America empowers people to learn, grow, and contribute to a diverse and better-functioning society by maximizing access to our shared history, culture, and knowledge. The Digital Public Library of America amplifies the value of libraries and cultural organizations as Americans’ most trusted sources of shared knowledge. We do this by collaborating with partners to accelerate innovative tools and ideas that empower and equip libraries to make information more accessi",2013,"Boston, Massachusetts","In 2025, NBCUniversal awarded $2.5 million to nonprofits; the FY2025 Disaster Supplemental Grant Program offers up to $1.45 billion for economic recovery post-natural disasters. The Literary Arts Fund will award $50 million over five years starting in 2025. The deadline for FY2025 Disaster Supplemental grants is March 3, 2026.","In 2025, major gifts remained the top priority for nonprofits, while diversification of revenue streams became the second priority. The Digital Public Library of America (DPLA) launched new grant funds and expanded its Network Council. Nonprofit leaders faced ongoing challenges from the pandemic and political climate."
Collective Intelligence Project,67.5,5,4,2,4,2,2,unknown,"Too new with minimal confirmed funding beyond 2023 and no evidence of sustained operations or measurable impact, making it a high-risk choice despite strong AI alignment.",http://www.cip.org/,"CIP is building democratic AI that works for everyone. We collaborate directly with AI labs, non-profits, and governments to develop and deploy systems that allow people around the world to steer the trajectory of AI.",2023,"San Francisco, California","The Collective Intelligence Project raised $1M in 2023, with notable funders including the Ford Foundation and the Future of Life Institute. In 2024, they received funding from Google.Org and Jigsaw. For 2025, they aim to build collective intelligence infrastructure.","The Collective Intelligence Project achieved significant community engagement and policy shifts in 2024, and plans to shape economic transitions and govern AI systems in 2025. Nonprofits are increasingly using AI for administrative and financial management, and to enhance program delivery. AI's impact on job security remains a concern for many."
DoSomething,67.5,4,4,4,3,2,2,unknown,Established with strong measurable youth impact but critically undermined by tiny recent funding like $5k grants signaling severe financial instability.,https://www.dosomething.org/us,"DoSomething is a 30-year leading hub for youth-centered activism, with over 1 million active members, activating over 8 million young people in every U.S area code and 189 countries. We fuel young people to change the world. Transforming civically curious young people into civically committed leaders, our campaigns and programs educate and equip young people (13 to 25) to build solutions to the issues that matter most to them. Leveraging technology, youth culture and creative peer-to-peer engage",1993,"New York, New York","DoSomething received $5,000 unrestricted grants in 2023, partnered with The MacArthur Foundation for over a decade, and is a 501(c)(3) nonprofit.",DoSomething launched a Roblox collaboration in 2024. They held the Next Gen Changemakers Summit in July 2025. The organization received the NY Knicks Sweetwater Clifton City Spirit Award in 2025.
House of Electronic Arts,67.5,5,4,2,3,3,2,unknown,"While HEK's focus on digital art and media technologies aligns well with AI/ML expertise, lack of detailed funding, staff, and measurable impact data signals high uncertainty and limited scalability for a fractional IC role.",https://www.hek.ch/,"HEK (House of Electronic Arts) in Basel is dedicated to digital culture and the new art forms of the Information Age. Since 2011, the institution has been central to the creative and critical discourse on the aesthetic, socio-political and economic effects of media technologies. As a platform for contemporary art that explores and employs new technologies, HEK promotes aesthetic practices related to information technologies. This not only enables a better comprehension of the changing world we l",2011,"Muenchenstein, Switzerland",House of Electronic Arts raised $5.9 million in charitable donations in 2025. The company focuses on STEAM education and volunteer initiatives. No specific funding data for 2023 and 2024 is available.,"In 2025, Electronic Arts focused on sustainability, social impact, and community engagement, reporting $5.9 million in charitable giving and 18,000+ volunteer hours. EA achieved carbon neutrality for 83% of its global operations. The company emphasized inclusive gaming and STEAM education initiatives."
NewsGuard,67.5,5,3,3,4,2,2,unknown,NewsGuard's uncertain funding amid government contract investigations and limited recent grants raise serious viability concerns despite strong AI/ML relevance in combating misinformation.,https://www.newsguardtech.com/,"NewsGuard provides transparent tools to counter misinformation for readers, brands, and democracies. Since launching in 2018, its global staff of trained journalists and information specialists has collected, updated, and deployed more than 6.9 million data points on more than 35,000 news and information sources, and cataloged and tracked all of the top false narratives spreading online.",2018,"New York, New York","NewsGuard received a $25,000 grant in 2024, which was challenged in court. In 2025, NewsGuard announced new services to counter AI-generated misinformation. NewsGuard is expected to receive funding through the Nonprofit Security Grant Program in FY 2025.","NewsGuard focuses on combating misinformation and protecting the integrity of news, with initiatives like tracking foreign disinformation and launching tools to debunk false claims. They have also introduced the Reality Gap Index to measure public belief in false claims. Their efforts include monitoring AI-generated misinformation."
Thomson Reuters Foundation,67.5,4,2,4,2,5,3,50-100,"Strongly viable as a backed foundation with real impact in media freedom and human rights, but too well-resourced from Thomson Reuters parent to have critical tech gaps or need a fractional IC for internal tools.",https://www.trust.org/,"The Thomson Reuters Foundation is the corporate foundation of Thomson Reuters, the global news and information services company. As an independent charity, registered in the UK and the USA, it works to advance media freedom, foster more inclusive economies, and promote human rights. Through news, media development, free legal assistance and convening initiatives, it uses the combined power of journalism and the law to build global awareness of critical issues faced by humanity, inspire collectiv",1983,"London, United Kingdom","Thomson Reuters Foundation awarded over $1 million in 2024 and continues to support nonprofits globally. In 2025, they focused on skills-based volunteering and community service. Their funding supports various initiatives, including human rights and media freedom.","Thomson Reuters launched AI for Justice in 2024, helping legal nonprofits serve more clients. In 2025, it reported a 50% increase in daily capacity for legal aid. The program uses AI to reduce legal workload and improve access to justice."
Design It For Us,66.2,3,5,2,5,2,3,under 10,Youth-led coalition founded in 2023 with minimal confirmed funding and no evidence of technical infrastructure makes it high-risk and low-impact for a senior AI/ML expert building data pipelines.,https://designitforus.org/,"Design It For Us is a youth-led coalition of young people, activists, and leaders that aims to achieve policy reforms to protect kids, teens, and young adults online. The coalition is led by two Co-Chairs and a team of Organizing Directors between the ages of 18 and 26. The coalition is also supported by an array of youth-led organizations and advisors.",2023,"New York, New York","Design It For Us raised $3.75 million in 2024, $5 million in 2025, and has additional grants available for 2025 and beyond.","Design It For Us advocates for safer online platforms for youth, focusing on tech reform and federal legislation. They have achieved significant progress through grassroots campaigns and public awareness. Their impact includes influencing policy changes for user safety and privacy."
betaworks,66.2,5,1,2,2,5,5,unknown,"Betaworks is a for-profit venture studio and VC firm heavily focused on AI startups, not a nonprofit, making it a poor fit for someone seeking nonprofit impact work.",https://www.betaworks.com/,"betaworks Invests, accelerates, and builds emerging technology companies.",2008,"New York, New York",Betaworks raised $66 million for Betaworks Fund 3.0 in 2025. No specific funding amounts are listed for 2023 or 2024. Betaworks focuses on venture funding and AI-related initiatives.,Betaworks announced $66 million for Betaworks Fund 3.0 in 2025. The fund focuses on pre-seed and seed stage investments. Betaworks also launched AI Camp programs in 2025.
Search for Common Ground,66.2,3,4,3,3,4,3,unknown,"Established since 1982 with steady grants like $36.6M federal in 2024 and recent awards, but limited evidence of scalable data needs or explosive growth makes it a mediocre fit for an AI/ML expert building internal tools.",https://www.sfcg.org/,"We are the world’s largest peacebuilding organization. We help supposed enemies learn to trust each other, create avenues for collaboration, and generate breakthroughs for peace.",1982,"Washington, D.C.","Search for Common Ground raised $36.6 million in federal grants in 2024. In 2025, it received $10,000 grants for six community projects. The organization's funding for 2025 and 2026 is not fully disclosed.","Search for Common Ground's 2024-2025 impact focused on peacebuilding and conflict transformation, with notable achievements in women's and youth engagement. Common Ground Alliance saw significant growth in media impressions and member expansion in 2025. In 2025, Common Ground Collaborative Grants were awarded for community garden projects."
Website,65.0,3,4,2,3,4,4,unknown,"Future Caucus has stable funding from major grants like $900K from Packard in 2025 but focuses on networking young lawmakers with limited measurable impact or clear need for AI/ML data pipelines, making it a mediocre fit for building internal tech tools.",https://futurecaucus.org/,"Future Caucus is a bipartisan organization for Gen Z and millennial lawmakers, bridging the partisan divide to lead collaborative governance and transform American politics.",2013,"Washington, D.C.","Nonprofits raised significant funding through grants in 2023, 2024, and 2025, with ongoing opportunities available in 2026. Many grants focus on community services, education, and health. Nonprofits continue to face funding challenges due to economic disruptions.","Nonprofits faced funding disruptions in 2025, impacting staffing and programs. Digital-first giving and impact reporting are key trends. Compliance updates include new beneficial ownership information reporting requirements."
Children and Screens: Institute of Digital Media and Child Development,65.0,5,4,2,3,2,2,unknown,"Primarily a research institute with low revenue and no clear operational scale, unlikely to need or value fractional IC for internal tools despite high AI/ML relevance to analyzing digital media data.",http://www.childrenandscreens.org/,"Children and Screens: Institute of Digital Media and Child Development is dedicated to understanding and addressing compelling questions regarding media’s impact on child development through interdisciplinary dialogue, public information, and rigorous, objective scientific research bridging the medical, neuroscientific, social science, education, and academic communities.",2013,"Jericho, New York","The Children and Screens Institute raised $1.31M in revenue in 2024. The organization is seeking funding for its 2025 Interdisciplinary Research Grants Program. The deadline for the 2025 grant proposals is February 6, 2026.","The Institute of Digital Media and Child Development focuses on understanding children's interactions with digital media and its impact on their development. In 2020, social media companies made nearly 100 changes to comply with the UK's Children's Code for online safety. Research indicates that excessive screen time can negatively affect children's development."
Centri Tech Foundation,65.0,4,4,2,5,2,2,5-10,Very small foundation with modest grant funding and limited scale of impact makes it risky and low-leverage for a senior tech leader's fractional role.,https://www.centritechfdn.org/,"The Centri Tech Foundation (CTF) partners with local organizations to tackle community challenges using technology-driven solutions. We focus on creating sustainable improvements in economy, health, and education. By collaborating with diverse stakeholders, we develop strategies that yield long-term benefits. CTF is dedicated to building an inclusive economy, especially for low-income and historically excluded communities. Our mission is to provide access to technology, empowering these communit",2020,"Washington, D.C.","Centri Tech Foundation raised $250,000 in 2023 for social justice innovation. In 2024, they received $100,000 from Verizon for digital skills training. They aim to promote digital advancement and social justice.","The Centri Tech Foundation focuses on digital advancement and AI training for entrepreneurs. In 2024, it launched digital tools for job seekers and awarded AI scholarships. The foundation continues to support tech skills and economic opportunities."
Ethical AI Alliance,65.0,5,4,2,3,2,2,unknown,"Perfect AI/ML fit but severe funding instability (€5k raised in 2024, volunteer-only operation) makes long-term viability questionable for a senior IC seeking meaningful impact.",http://www.ethicalaialliance.org/,"The Ethical AI Alliance is an interdisciplinary, grassroots movement building global accountability for artificial intelligence. We bring together researchers, technologists, activists, and artists from the Global South and beyond to map AI harms, co-create ethical standards, and design governance frameworks rooted in justice, transparency, and collective responsibility.",2024,"Malaga, Spain","Ethical AI Alliance raised €5,000 in 2024. No specific funding data for 2023 and 2025 is available. The organization relies on individual contributions.","The Ethical AI Alliance is a nonprofit promoting fair AI governance, formed in 2024, and aims to shape AI for global benefit. It has over 800 contributors and 4,807 followers on LinkedIn. The Alliance focuses on ethical standards and responsible AI development."
LUMA Arles,65.0,3,4,2,3,4,4,unknown,"LUMA Arles is a stable arts campus with ongoing funding and activities but lacks clear measurable impact or strong AI/ML needs beyond niche sustainability projects, making it a mediocre fit for building data pipelines.",http://luma-arles.org/,"LUMA Arles is an 11-hectare interdisciplinary creative campus founded by Maja Hoffmann in France’s Provence region. Fully open to the public since the June 2021 inauguration of the LUMA Tower and park, it is a place where thinkers including artists, scientists, and researchers explore the relationships between art, culture, the environment, and human rights. LUMA Arles is located on the site of a former national railway complex reimagined into art spaces with Frank Gehry, Annabelle Selldorf and",2014,"Arles, France","LUMA Arles received funding grants in 2023, 2024, and 2025. Specific amounts are not disclosed. The organization continues to operate and host exhibitions.","LUMA Arles 2025 features diverse exhibitions on technology, identity, and climate change. The exhibition ""Sensing the Future"" revisits the 1960s art and technology movement E.A.T. The program includes new installations opening May 1 and July 5."
PolicyLink,65.0,2,4,2,3,5,5,unknown,PolicyLink is financially stable with strong funding but primarily a policy advocacy organization where AI/ML tools offer limited natural fit and impact lacks quantifiable metrics beyond grants.,https://www.policylink.org/,"To advance equity, PolicyLink advocates for groundbreaking policy changes that enable everyone, especially people of color, to be economically secure, live in healthy communities of opportunity, and benefit from a just society. PolicyLink is guided by the belief that the solutions to the nation’s challenges lie with those closest to these challenges: when the wisdom, voice, and experience of those traditionally absent from policymaking drive the process, profound policy transformations emerge.",1998,"Oakland, California","PolicyLink raised over $21 million in grants in 2023 and $21 million in 2024. In 2025, it received a $1 million grant from the Ford Foundation. PolicyLink's funding primarily comes from foundations, corporations, and individuals.",PolicyLink is a nonprofit focused on equitable economic and community development; it received $1.67 million from Liberation Ventures in 2024 and reported $73.96 million in support and revenues for 2024.
Reel Works Productions,65.0,3,4,4,4,2,2,20-40,Small revenue of under $200k annually and unclear major funding make viability shaky despite longevity since 2001 and solid youth impact via filmmaking mentorship.,https://www.reelworks.org/,"Reel Works mentors, inspires and empowers underserved NYC youth to share their stories through filmmaking, creating a springboard to successful careers in media and beyond. Reel Works matches teens 1:1 with professional filmmaker mentors to tell their stories and have their voices heard.  It’s a powerful combination that changes young lives and creates films that have been seen by tens of millions of viewers worldwide.",2001,"New York, New York","Reel Works Productions raised $178,826 in revenue in 2024. They received $119,000 from NBCUniversal in 2025. They have upcoming grant opportunities in January 2025.","Reel Works continues to empower young filmmakers through mentorship and training, with significant achievements in 2024 including serving over 1,400 youth and launching the Dual Language Doc Lab program."
Tech Matters,65.0,5,4,2,3,2,2,unknown,"Strong AI/ML alignment through open source projects in soil assessment and crisis response, but critically lacks evidence of recent funding, impact metrics, staff size, or growth amid reported funding cuts and shortages making it a risky fit.",https://techmatters.org/,"Tech Matters is one of the leading nonprofit tech for good organizations in the world, founded by a team with a long track record of working across many fields in the social sector. Our tech for good field-building work, as well as our open source software development projects in integrated landscape management, soil identification and assessment, and crisis response, are all focused on ensuring that the 90% of humanity typically neglected by the for-profit tech industry get the tech tools they",2018,"Palo Alto, California","Tech Matters raised $1,035,993 in grants in 2024. Nine tech grants are available for nonprofits in 2025. The Citi Foundation's Global Innovation Challenge offers $500,000 for youth employment programs.","Tech Matters is a nonprofit focused on tech for good, offering open source solutions to social issues. In 2024-2025, it expanded its impact and launched new software. The organization continues to face challenges like funding cuts and staff shortages."
The Computational Democracy Project,65.0,5,4,2,4,2,1,unknown,"High AI/ML alignment with their collective intelligence mission using tools like Polis, but critically undermined by minimal funding ($185k in 2023), no recent grants or news, and lack of documented impact or growth signals.",https://compdemocracy.org/,"The Computational Democracy Project was founded in 2018 as a non-profit continuation of Polis's open source work and the mission behind it. Primarily, the organization considers how what is possible in collective intelligence might advance over the course of the next century, given advancements in machine learning, and how we can enable those who seek to empower citizens to operationalize those advancements in policy-making processes. We believe democratic processes benefit when human voices ar",2019,"New York, New York","The Computational Democracy Project raised $185,629 in other income in 2023. The project focuses on gathering and analyzing public opinion data. For specific grant details, visit their official website.",The Computational Democracy Project focuses on designing democratic systems and uses open-source tools like Polis. It has been involved in initiatives to shape community futures and has received support from Google.org. The project continues to innovate in democratic engagement and technology.
Social Media Victims Law Center,63.7,4,4,3,3,2,2,unknown,Young law firm with uncertain funding beyond expiring grants and no confirmed major donors makes it risky despite relevant litigation work that could leverage AI for data tracking.,https://socialmediavictims.org/,"The Social Media Victims Law Center (SMVLC) is a Seattle-based law firm active in litigation, legislation, and education in the ongoing fight for tech corporate accountability. We represent thousands of children and families harmed by tech products.  And we approach our practice with creativity, innovation, and compassion.  We support and empower the families with which we work and strive to help them achieve justice and sustainable tech reform.",2021,"Seattle, Washington","The Social Media Victims Law Center received grants from the U.S. Department of Justice in 2024 and 2025. The 2025 grant is set to expire, necessitating new revenue sources. The center is exploring alternative funding options.","The Social Media Victims Law Center has filed lawsuits against tech companies for alleged harm to users, including claims of addiction and suicide. Meta and Google face trial over social media addiction claims. The lawsuits seek damages and changes to social media design."
Sciences Po,63.7,4,2,3,1,5,4,1000+,Established university lab with solid funding but too large an academic institution where a fractional IC would have minimal impact and internal tech resources likely exist.,http://medialab.sciencespo.fr/,"Sciences Po's overarching mission is to educate future leaders in the public and private sectors. Curious and open-minded, Sciences Po graduates, regardless of their focus and trajectory, all share the ability to “learn how to learn”, which is one of the priorities of a Sciences Po education. However, their ambition extends even further: to educate open-minded and enlightened citizens capable of changing the world and transforming society.",1871,"Paris, France",Sciences Po received funding from the Global Fund for USD 118 million for 2023-2025. The ANR allocated €1.24 billion for research in 2024. The DAAD established new Centers for Interdisciplinary Ukraine Studies in 2024.,"Sciences Po hosted a 2025 event on Europe's geopolitical relevance during Trump's presidency. In 2025, 21 new researchers joined Sciences Po. The 2024-2025 academic year ended with notable achievements and new initiatives."
UNESCO,63.7,4,1,4,1,5,4,2000+,"UNESCO is an ultra-established UN agency with stable funding and global impact, but its massive bureaucracy makes it a poor fit for a fractional IC where one person can drive meaningful change in building internal tools.",http://unesco.org/,"UNESCO is a United Nations specialized agency with 194 Member States across the globe, dedicated to strengthening our shared humanity through the promotion of education, science, culture, and communication. The organization sets standards, produce tools and develop knowledge to create solutions to some of the greatest challenges of our time, and foster a world of greater equality and peace.",1945,"Paris, France","UNESCO received significant funding in 2023 for youth development and education projects. In 2024, it announced grants for cultural diversity and climate change initiatives. For 2025, it continues to fund partnerships and educational programs.","UNESCO focused on gender equality, education financing, and global skills development in 2024-2025. It highlighted the digital gender divide and called for increased education funding. UNESCO's Global Education Coalition achieved significant milestones."
